Component,Version,CVE,Matching type,CVSS Version,CVSS,CVE publication date,Is Affected,Reason Type,Remarks,Confirmer,Object,Object compilation date,Object full path,Obj_Sha1,,,,
apache,2.4.6,CVE-2015-0228,Exact match,2.0,5.0,2015-03-08T02:59:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2015-3183,Exact match,2.0,5.0,2015-07-20T23:59:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2016-5387,Exact match,3.0,8.1,2016-07-19T02:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2018-1301,Exact match,3.0,5.9,2018-03-26T15:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2018-1302,Exact match,3.0,5.9,2018-03-26T15:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2018-1303,Exact match,3.0,7.5,2018-03-26T15:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2018-17189,Exact match,3.0,5.3,2019-01-30T22:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2019-0217,Exact match,3.0,7.5,2019-04-08T21:29:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache,2.4.6,CVE-2014-3581,Exact match,2.0,5.0,2014-10-10T10:55:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip:CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img:usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
apache http server,2.4.6,CVE-2014-3523,Exact match,2.0,5.0,2014-07-20 00:00:00,,,,,httpd,2019-05-06T09:34:33Z,CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install.zip_/CloudMSE_VASs_DDI_ZDNS_20.1.0_vZDNS_GuestOS_Install/omu_vZDNS_20.1.0.img_/_dev_sda2/usr/sbin/httpd,fa215f0e6255d885dd2502c8ad79cdbc1eb8124b,,,,
